video_id,view_count,like_count,dislike_count,comment_count
HDyGj7bJJHM,19,0,0,0
79o-Jmn69d0,20932,142,0,11
VQBAPCQdku0,5574,78,0,7
7wOqORzLPws,35,0,0,0
mgH5fdWbUYg,56232,1044,0,180
FITn44EGzBQ,27881,463,0,35
5UtyiLyXrkI,3049363,172261,0,833
48iJHpITiK8,17,0,0,0
VQBAPCQdku0,5574,78,0,7
mFKnz7xjS28,2860,19,0,0
bPw7CEb7024,1674,61,0,16
3C__r4m3MAQ,11257,411,0,51
K4ikvcz3Bwk,218,0,0,0
RrAtnnNsOm8,59,0,0,0
kFD4cUWxN5I,5250,106,0,40
9IfNcjhp1dM,973,25,0,1
w8xZfXwg_cw,1366914,6229,0,410
nEpFd7DrYrs,3733,45,0,1
sEqaar6xfYM,118450,1350,0,101
9ogfmkUc8dc,50,0,0,0
ntJt0KHXejc,61459,587,0,71
rMybeekVqfg,71971,692,0,64
k5H908f94So,430203,14342,0,1178
QQeJY4at-xc,566252,4947,0,472
lsXidoo31oM,11850,104,0,2
wFPwFpT5HxQ,60,0,0,0
jCUTAJoqOjo,8364,131,0,35
bMA8FyEFutY,109074,716,0,38
Tsca-Y2o8rg,163,0,0,0
lzIAzGYIyzI,190323,1767,0,143
Q7Y9C4QAHqk,150,4,0,0
HGHh8j1_5Hs,29,0,0,0
Nl2iffG4Hlc,13720,141,0,21
A6o2IJcpHTQ,13411,71,0,3
G-DyTlMJaqk,29,0,0,0
sONW-ChYp0E,44,0,0,0
2EBKrVv-Xmw,4231,0,0,6
ycrHVgdLksU,375729,2450,0,126
4l-kIONtENI,26653,177,0,9
iRXO-ga5Rok,27,0,0,0
5Ug8jzSwn8o,4590168,174526,0,394
ukbpHgjBIKM,28260,119,0,10
hPAdRRCvHHs,554,5,0,0
X11xJPHFPsQ,42754,313,0,45
VyQbbDzhM_M,3849,18,0,1
h98bYyFHI60,4518,30,0,3
0m_xmJ5Jp4M,57,0,0,0
iDAmoQd0reQ,16930,148,0,9
N3F1MZSKQSg,41939,828,0,71
u46wfjSHbq4,60554,276,0,31
Ldbc8f1coeo,819162,8781,0,264
vl-cBWtpMS4,689045,8466,0,292
Z9QwGR6ZWhA,1445085,7212,0,685
2kbkanDF4MI,74630,504,0,48
m2xrYxkByTQ,10041,71,0,14
XbPYM_9ZOU4,3698,30,0,0
bLkqD4npBoY,2174,48,0,4
1XdLPmWjD_k,30,0,0,0
ycf67B0oLsg,2238,42,0,6
B73dCcnDgHk,6639,57,0,8
2UwVuNt2hCA,3817,76,0,8
K238EINF0ZY,44826,464,0,50
jLPDbZy9W3Q,23975,269,0,6
60R1Mg-Y2bY,40574,234,0,72
LMbO-gbZroE,68909,287,0,10
sFKKuvLSmTc,7200,36,0,3
ORrGpH688bE,12202,76,0,0
gkkthwSPiog,4165,11,0,0
NCugk2Yq0hs,11352,135,0,33
tgNIzJHsnVg,19582,143,0,16
8qRQGwstbP8,1336,20,0,1
ryzQN7eSdHk,1957,23,0,8
PmB_VJ1JJ6s,7855,106,0,17
-J2pOww2mlM,8977,13,0,0
3F3tZQwxxuo,626,13,0,4
DI5IePJpCj0,19608,161,0,59
5KPHX8zG8lY,11621,116,0,12
3w6Zp1LZc1g,2211,46,0,7
Ce8k8eFxcDI,195725,2081,0,78
6DHMtbeGq5Y,37364,279,0,25
bDcv60gWsdc,2564,24,0,2
5CzSkZeJFSw,1854,35,0,1
gAAV-ycah-A,15286,183,0,6
ykaMOqT18TU,3949,65,0,8
L7s-6vTWyz8,24007,258,0,8
JrRWlDIu-y0,349540,6838,0,288
9g1hqGPS_88,46679,690,0,91
MQ0l7Gr-dIA,11524,84,0,3
Rmqpa0bi01E,1549,8,0,3
3-UsnHUudYA,682323,15652,0,536
CxvXzRVJ95Q,103976,599,0,51
_7GuW6WYjiQ,50231,546,0,55
dl30prvV2Z0,7466,60,0,7
M_uiNOSLKAU,1488,25,0,3
myD6qaa972M,14808,201,0,9
gy0p4LPU2X8,753,3,0,0
AQ4CDCkGRqQ,53552,327,0,25
TKHE1tZHykw,468,6,0,0
6L_UwnL13n4,37939,506,0,40
5cZfAtJefWw,637105,28838,0,131
T-_nLoM2Luk,10224,89,0,5
-J2pOww2mlM,8977,13,0,0
LanY0SrnvYU,186290,2469,0,371
O9Ln1wBP10k,63854,648,0,30
Ce8k8eFxcDI,195725,2081,0,78
NCugk2Yq0hs,11352,135,0,33
bDcv60gWsdc,2564,24,0,2
60R1Mg-Y2bY,40574,234,0,72
XbPYM_9ZOU4,3698,30,0,0
LMbO-gbZroE,68909,287,0,10
sFKKuvLSmTc,7200,36,0,3
gkkthwSPiog,4165,11,0,0
K238EINF0ZY,44826,464,0,50
tgNIzJHsnVg,19582,143,0,16
DI5IePJpCj0,19608,161,0,59
MQ0l7Gr-dIA,11524,84,0,3
tOHzGW-cW1Q,200081,5005,0,364
bVxRR-90EgQ,17495,392,0,53
ue7zooPZaeU,452464,5140,0,377
v_GFYKia01c,2904,20,0,0
eA6RAC-uKOg,28357,564,0,46
6DHMtbeGq5Y,37364,279,0,25
3-UsnHUudYA,682323,15652,0,536
Z8idce--zPk,1719,20,0,4
aAzWcWgLPT4,232,3,0,0
Rmqpa0bi01E,1549,8,0,3
ZSCmYalWX8g,24888,96,0,61
afkC0zuf3cU,69492,605,0,35
__Li9pMZOjY,5,0,0,0
CxvXzRVJ95Q,103976,599,0,51
zSHZ-44forM,796,5,0,0
lBr3-W5b1Ao,573,0,0,0
moyK7eDXM_Q,71808,767,0,44
_7GuW6WYjiQ,50231,546,0,55
JrRWlDIu-y0,349540,6838,0,288
gy0p4LPU2X8,753,3,0,0
9g1hqGPS_88,46679,690,0,91
JRjsAmltbTk,190875,15761,0,644
40-CNPsz0dU,90218,3349,0,114
AQ4CDCkGRqQ,53552,327,0,25
T-_nLoM2Luk,10224,89,0,5
xGRDm0hubN0,33802,241,0,18
LTsNsBIlhec,41430,618,0,30
n5FTY3lVLf4,142867,2208,0,227
fvkgANGZ_Jc,9389,98,0,8
-V-4av6mz_s,122936,1761,0,228
1CgoCz1VS-E,6482,110,0,9
UmZcB5qxmdw,13180,103,0,2
cfk2a6LalNM,95398,693,0,45
gE1cPvG-fTY,420291,4706,0,699
8gp61tLKrmk,76536,1533,0,97
o62aKKmSehQ,35736,682,0,73
PfE4gZmIbik,215117,5635,0,221
n5FTY3lVLf4,142867,2208,0,227
afkC0zuf3cU,69492,605,0,35
bKOoxS14bNU,10915,115,0,12
ZSCmYalWX8g,24888,96,0,61
C9vqZsKVKdg,136353,4829,0,342
aW2gXYNKwIQ,3086,26,0,6
AhV3TRWy-9E,70471,606,0,89
3Pj0bP-l0Uk,77387,634,0,166
7Hv6GZT_-5Y,14364,168,0,6
E6M634BQ0Jo,29161,559,0,38
ciRURx6fB6k,8600,78,0,63
WWPl1R8kniQ,849562,21256,0,553
sK-ViVDOJrs,37584,296,0,21
moyK7eDXM_Q,71808,767,0,44
lgmMsqiZ4hU,4008,29,0,7
PAXChk0XSfw,261,6,0,0
u4yqmFSKFZw,61406,917,0,70
WwXqf8hi-ao,58205,207,0,9
m0gCFvBTPLA,5170,22,0,8
Qyd1Z9ZJxxA,80537,0,0,50
tz91ZZsoguc,423341,2237,0,111
